id,logo,item_code,lot_number,label_temp,product_name_en,product_name_zh,weight,case_quantity,case_unit,storage,shelf_life,case_gtin,ingredient,allergen,manufactured,barcode,customer_item_code
1,001,1002,null,4x4_a,Fresh Rice Noodle,鮮河粉,680g/tray,6," Tray"," Cooler",9 days,06710213435-4,"Water, High amylose rice flour, Modified potato starch, Modified tapioca starch, Wheat starch, Canola oil, Sodium propionate, Monoglyceride, Potassium sorbate, Xanthan gum.",CONTAINS: Wheat.,"HON'S, RICHMOND, BC V6V 2W2",111111111111,
2,001,1008,null,4x4_a,Sha He Rice Noodle,沙河粉,680g/tray,6," Tray"," Cooler",9 days,06710213601-3,"Water, High amylose rice flour, Modified potato starch, Modified tapioca starch, Wheat starch, Canola oil, Sodium propionate, Monoglyceride, Potassium sorbate, Xanthan gum.",CONTAINS: Wheat.,"HON'S, RICHMOND, BC V6V 2W2",111111111111,
3,001,1004,null,4x4_a,Rice Noodle (Uncut),鮮河粉(原塊),550g/tray,6," Tray"," Cooler",9 days,06710213602-0,"Water, High amylose rice flour, Modified potato starch, Modified tapioca starch, Wheat starch, Canola oil, Sodium propionate, Monoglyceride, Potassium sorbate, Xanthan gum.",CONTAINS: Wheat.,"HON'S, RICHMOND, BC V6V 2W2",111111111111,
4,001,1054,null,4x4_a,Plain Rice Roll,齋腸粉,650g/tray,6," Tray"," Cooler",9 days,06710213434-7,"Water, High amylose rice flour, Modified potato starch, Modified tapioca starch, Wheat starch, Canola oil, Sodium propionate, Monoglyceride, Potassium sorbate, Xanthan gum.",CONTAINS: Wheat.,"HON'S, RICHMOND, BC V6V 2W2",111111111111,
5,001,1052,null,4x4_a,Rice Roll w/ Dried Shrimp + Green Onion,豬腸粉,650g/tray,6," Tray"," Cooler",9 days,06710213436-1,"Water, High amylose rice flour, Modified potato starch, Wheat starch, Modified tapioca starch, Canola oil, Sodium propionate, Monoglyceride, Potassium sorbate, Xanthan gum, Green onion, Dry shrimp, Sesame seeds.","CONTAINS: Sesame, Shellfish.","HON'S, RICHMOND, BC V6V 2W2",111111111111,
6,001,1055,null,4x4_a,Rice Roll w/ Seasoning,豬腸粉(附醬料),725g/tray,6," Tray"," Cooler",9 days,06710213437-6,"Water, Rice flour, Modified potato starch, Wheat starch, Modified tapioca starch, Sodium propionate, Monoglyceride, Potassium sorbate (mold inhibitor), Xanthan gum, Soy sauce (light soya sauce, water, mushroom soy sauce, sugar, yeast extract, sesame oil, sodium potassium, sorbate, white pepper powder), Sweet sauce (hoisin sauce, water, sugar, sodium propionate, potassium sorbate), Hot sauce (chili sauce, water, vinegar, seasoning, sugar, sodium, propionate, potassium sorbate), Green onion, Dry shrimp, Sesame seeds.","CONTAINS: Wheat, Sesame, Soy, Shellfish.","HON'S, RICHMOND, BC V6V 2W2",111111111111,
7,001,7087,null,4x4_a,Pre-Cut Plain Rice Roll w/ Seasoning,齋腸粉(附醬料),680g/tray,6," Tray"," Freezer/Cooler",90/9 days,06710213650-1,"Water, Rice flour, Modified potato starch, Wheat starch, Modified tapioca starch, Sodium propionate, Monoglyceride, Potassium sorbate (mold inhibitor), Xanthan gum, Soy sauce (light soya sauce, water, mushroom soy sauce, sugar, yeast extract, sesame oil, sodium potassium, sorbate, white pepper powder), Sweet sauce (hoisin sauce, water, sugar, sodium propionate, potassium sorbate), Hot sauce (chili sauce, water, vinegar, seasoning, sugar, sodium, propionate, potassium sorbate), Green onion, Dry shrimp, Sesame seeds.","CONTAINS: Wheat, Sesame, Soy, Shellfish.","HON'S, RICHMOND, BC V6V 2W2",111111111111,
8,001,1082,null,4x4_a,Shanghai White Thick Noodles,熟上海粗麵,550g/tray,6," Tray"," Freezer/Cooler",180/15 days,06710213433-0,"Enriched wheat flour, Water, Liquid egg whites (liquid egg white, triethyl citrate), Canola oil, Vital wheat gluten, Salt, Sodium propionate, Potassium sorbate, Potassium carbonate, Dipotassium phosphate.","CONTAINS: Wheat, Egg.","HON'S, RICHMOND, BC V6V 2W2",111111111111,
9,001,1086,null,4x4_a,Shanghai White Thin Noodles,熟上海幼麵,550g/tray,6," Tray"," Freezer/Cooler",180/15 days,06710213606-8,"Enriched wheat flour, Water, Liquid egg whites (liquid egg white, triethyl citrate), Canola oil, Vital wheat gluten, Salt, Sodium propionate, Potassium sorbate, Potassium carbonate, Dipotassium phosphate.","CONTAINS: Wheat, Egg.","HON'S, RICHMOND, BC V6V 2W2",111111111111,
10,001,1084,null,4x4_a,Shanghai Oil Noodles,熟上海油麵,550g/tray,6," Tray"," Freezer/Cooler",180/15 days,06710213432-3,"Water, Enriched wheat flour, Oil, Liquid egg white (triethyl citrate), Wheat gluten, Salt, Dehydrated egg powder, Potassium carbonate, Sodium bicarbonate, Potassium sorbate (mold inhibitor). ","CONTAINS: Wheat, Egg.","HON'S, RICHMOND, BC V6V 2W2",111111111111,
